timestamp,linear_x,angular_z
1785243292924385217,0.10999999999999999,0.4
1785243293023201370,0.10999999999999999,0.4
1785243293125907720,0.10999999999999999,0.4
1785243293225121801,0.10999999999999999,0.4
1785243293325246015,0.10999999999999999,0.4
1785243293346318518,0.10999999999999999,0.4
1785243293446953912,0.10999999999999999,0.4
1785243293547473748,0.10999999999999999,0.4
1785243293648102840,0.10999999999999999,0.4
1785243293748695299,0.10999999999999999,0.4
1785243293849332977,0.10999999999999999,0.4
1785243293950042918,0.10999999999999999,0.4
1785243294050618023,0.10999999999999999,0.4
1785243294151295851,0.10999999999999999,0.4
1785243294251939651,0.10999999999999999,0.4
1785243294352565907,0.10999999999999999,0.4
1785243294453281919,0.10999999999999999,0.4
1785243294554406837,0.10999999999999999,0.4
1785243294655021800,0.10999999999999999,0.4
1785243294709726309,0.0,0.0
1785243294810173533,0.0,0.0
1785243294910795420,0.0,0.0
1785243295011387447,0.0,0.0
1785243295111992893,0.0,0.0
1785243295212623598,0.0,0.0
1785243295313210782,0.0,0.0
1785243295413895021,0.0,0.0
1785243295514532838,0.0,0.0
1785243295615145226,0.0,0.0
1785243295715765730,0.0,0.0
1785243295816672555,0.0,0.0
1785243295916850561,0.0,0.0
1785243296017583455,0.0,0.0
1785243296118224529,0.0,0.0
1785243296218923777,0.0,0.0
1785243296319446369,0.0,0.0
1785243296420159133,0.0,0.0
1785243296520775248,0.0,0.0
1785243296621438220,0.0,0.0
1785243296722142864,0.0,0.0
1785243296822848304,0.0,0.0
1785243296929703497,0.0,0.0
1785243297029652113,0.0,0.0
1785243297128623381,0.0,0.0
1785243297229718777,0.0,0.0
1785243297330362315,0.0,0.0
1785243297431050211,0.0,0.0
1785243297531680905,0.0,0.0
1785243297632668900,0.0,0.0
1785243297733292670,0.0,0.0
1785243297837705842,0.0,0.0
1785243297934974071,0.0,0.0
1785243298033863640,0.0,0.0
1785243298134491598,0.0,0.0
1785243298235394375,0.0,0.0
1785243298337160567,0.0,0.0
1785243298436839624,0.0,0.0
1785243298537218984,0.0,0.0
1785243298640102737,0.0,0.0
1785243298740026524,0.0,0.0
1785243298845067829,0.0,0.0
1785243298948703476,0.0,0.0
1785243299046364225,0.0,0.0
1785243299147109253,0.0,0.0
1785243299247654764,0.0,0.0
1785243299348395053,0.0,0.0
1785243299449057654,0.0,0.0
1785243299549744538,0.0,0.0
1785243299650395862,0.0,0.0
1785243299752186611,0.0,0.0
1785243299856869142,0.0,0.0
1785243299958381040,0.0,0.0
1785243300059083649,0.0,0.0
1785243300159721848,0.0,0.0
1785243300260372611,0.0,0.0
1785243300361159351,0.0,0.0
1785243300461946581,0.0,0.0
1785243300562975531,0.0,0.0
1785243300668087870,0.0,0.0
1785243300764973698,0.0,0.0
1785243300872004436,0.0,0.0
1785243300967184678,0.0,0.0
1785243301076027179,0.0,0.0
1785243301173176594,0.0,0.0
1785243301280027067,0.0,0.0
1785243301374527828,0.0,0.0
1785243301475164974,0.0,0.0
1785243301575879623,0.0,0.0
1785243301676562729,0.0,0.0
1785243301777386571,0.0,0.0
1785243301878105147,0.0,0.0
1785243301978757764,0.0,0.0
1785243302079563961,0.0,0.0
1785243302180419476,0.0,0.0
1785243302281310039,0.0,0.0
1785243302388052591,0.0,0.0
1785243302484631999,0.0,0.0
1785243302585578722,0.0,0.0
1785243302687204697,0.0,0.0
1785243302788556957,0.0,0.0
1785243302892465057,0.0,0.0
1785243302992896191,0.0,0.0
1785243303093469440,0.0,0.0
1785243303194294578,0.0,0.0
1785243303296631996,0.0,0.0
1785243303397251115,0.0,0.0
1785243303497697173,0.0,0.0
1785243303573268517,0.0,-0.05
1785243303680027333,0.0,-0.1
1785243303773517421,0.0,-0.1
1785243303876003173,0.0,-0.1
1785243303975065563,0.0,-0.1
1785243304016325282,0.0,-0.15000000000000002
1785243304119714860,0.0,-0.2
1785243304220395718,0.0,-0.2
1785243304321017290,0.0,-0.2
1785243304412667411,0.0,-0.25
1785243304513117266,0.0,-0.3
1785243304615656488,0.0,-0.30000000000000004
1785243304715653575,0.0,-0.30000000000000004
1785243304814531588,0.0,-0.30000000000000004
1785243304915130866,0.0,-0.30000000000000004
1785243305018472841,0.0,-0.30000000000000004
1785243305116921452,0.0,-0.30000000000000004
1785243305217562011,0.0,-0.30000000000000004
1785243305318135537,0.0,-0.30000000000000004
1785243305418730939,0.0,-0.30000000000000004
1785243305519334916,0.0,-0.30000000000000004
1785243305620004432,0.0,-0.30000000000000004
1785243305720516008,0.0,-0.30000000000000004
1785243305821202998,0.0,-0.30000000000000004
1785243305924213714,0.0,-0.30000000000000004
1785243306033214630,0.0,-0.30000000000000004
1785243306132380021,0.0,-0.30000000000000004
1785243306229946080,0.0,-0.30000000000000004
1785243306332109507,0.0,-0.30000000000000004
1785243306431144152,0.0,-0.30000000000000004
1785243306524078386,0.0,-0.35000000000000003
1785243306622143455,0.0,-0.4
1785243306722723786,0.0,-0.4
1785243306823394895,0.0,-0.4
1785243306924031996,0.0,-0.4
1785243307027811790,0.0,-0.4
1785243307132072686,0.0,-0.4
1785243307236452068,0.0,-0.4
1785243307336000244,0.0,-0.4
1785243307433748573,0.0,-0.4
1785243307534363330,0.0,-0.4
1785243307635047936,0.0,-0.4
1785243307735691460,0.0,-0.4
1785243307836362319,0.0,-0.4
1785243307937079748,0.0,-0.4
1785243308037745828,0.0,-0.4
1785243308138346208,0.0,-0.4
1785243308238942279,0.0,-0.4
1785243308339536568,0.0,-0.4
1785243308440116498,0.0,-0.4
1785243308540732007,0.0,-0.4
1785243308641386193,0.0,-0.4
1785243308744059266,0.0,-0.4
1785243308844714544,0.0,-0.4
1785243308945274235,0.0,-0.4
1785243309045901395,0.0,-0.4
1785243309146485145,0.0,-0.4
1785243309247156374,0.0,-0.4
1785243309347850155,0.0,-0.4
1785243309448616372,0.0,-0.4
1785243309552134904,0.0,-0.4
1785243309651392772,0.0,-0.4
1785243309752054693,0.0,-0.4
1785243309852640815,0.0,-0.4
1785243309953215564,0.0,-0.4
1785243310053799502,0.0,-0.4
1785243310154480741,0.0,-0.4
1785243310260023882,0.0,-0.4
1785243310356908507,0.0,-0.4
1785243310457419782,0.0,-0.4
1785243310558021234,0.0,-0.4
1785243310658720508,0.0,-0.4
1785243310759254025,0.0,-0.4
1785243310859847554,0.0,-0.4
1785243310960481871,0.0,-0.4
1785243311061167438,0.0,-0.4
1785243311164304862,0.0,-0.4
1785243311268134374,0.0,-0.4
1785243311366157266,0.0,-0.4
1785243311472400650,0.0,-0.4
1785243311570222945,0.0,-0.4
1785243311676719860,0.0,-0.4
1785243311784067919,0.0,-0.4
1785243311878104719,0.0,-0.4
1785243311978891865,0.0,-0.4
1785243312079477773,0.0,-0.4
1785243312180121325,0.0,-0.4
1785243312284566625,0.0,-0.4
1785243312385052777,0.0,-0.4
1785243312485889862,0.0,-0.4
1785243312586590257,0.0,-0.4
1785243312687609071,0.0,-0.4
1785243312788586684,0.0,-0.4
1785243312889219565,0.0,-0.4
1785243312990159715,0.0,-0.4
1785243313090793738,0.0,-0.4
1785243313191375623,0.0,-0.4
1785243313292112896,0.0,-0.4
1785243313394621887,0.0,-0.4
1785243313495243426,0.0,-0.4
1785243313595807781,0.0,-0.4
1785243313696441023,0.0,-0.4
1785243313796999508,0.0,-0.4
1785243313897581448,0.0,-0.4
1785243313998101267,0.0,-0.4
1785243314098938362,0.0,-0.4
1785243314199468250,0.0,-0.4
1785243314300234204,0.0,-0.4
1785243314402079903,0.0,-0.4
1785243314504480149,0.0,-0.4
1785243314604154854,0.0,-0.4
1785243314712012092,0.0,-0.4
1785243314809154110,0.0,-0.4
1785243314909729887,0.0,-0.4
1785243315010480964,0.0,-0.4
1785243315111072634,0.0,-0.4
1785243315211643763,0.0,-0.4
1785243315312289941,0.0,-0.4
1785243315412873914,0.0,-0.4
1785243315513801470,0.0,-0.4
1785243315614175629,0.0,-0.4
1785243315716681323,0.0,-0.4
1785243315817253245,0.0,-0.4
1785243315918005211,0.0,-0.4
1785243316018638203,0.0,-0.4
1785243316119287006,0.0,-0.4
1785243316219810751,0.0,-0.4
1785243316320355919,0.0,-0.4
1785243316421011214,0.0,-0.4
1785243316521693133,0.0,-0.4
1785243316622464107,0.0,-0.4
1785243316722918185,0.0,-0.4
1785243316798927892,0.0,0.0
1785243316899426778,0.0,0.0
1785243317000159637,0.0,0.0
1785243317100744193,0.0,0.0
1785243317201443235,0.0,0.0
1785243317301967292,0.0,0.0
1785243317402521157,0.0,0.0
1785243317503123217,0.0,0.0
1785243317603682823,0.0,0.0
1785243317704330273,0.0,0.0
1785243317804979628,0.0,0.0
1785243317905702166,0.0,0.0
1785243318006305199,0.0,0.0
1785243318106979943,0.0,0.0
1785243318207653474,0.0,0.0
1785243318308365101,0.0,0.0
1785243318409054756,0.0,0.0
1785243318514465077,0.0,0.0
1785243318620012736,0.0,0.0
1785243318720080415,0.0,0.0
1785243318818098396,0.0,0.0
1785243318918356046,0.0,0.0
1785243319019161598,0.0,0.0
1785243319119794159,0.0,0.0
1785243319220488853,0.0,0.0
1785243319322904850,0.0,0.0
1785243319428024073,0.0,0.0
1785243319524137859,0.0,0.0
1785243319624707844,0.0,0.0
1785243319725309825,0.0,0.0
1785243319826118651,0.0,0.0
1785243319926859323,0.0,0.0
1785243320028789627,0.0,0.0
1785243320129440492,0.0,0.0
1785243320231077378,0.0,0.0
1785243320331678365,0.0,0.0
1785243320340602357,0.0,0.0
1785243320441211891,0.0,0.0
1785243320541793539,0.0,0.0
1785243320642399687,0.0,0.0
1785243320743047536,0.0,0.0
1785243320843675325,0.0,0.0
1785243320944330701,0.0,0.0
1785243321044953912,0.0,0.0
1785243321145579135,0.0,0.0
1785243321246293056,0.0,0.0
1785243321346833502,0.0,0.0
1785243321435616814,0.0,0.0
1785243321536344742,0.0,0.0
1785243321636969466,0.0,0.0
1785243321737739576,0.0,0.0
1785243321838253792,0.0,0.0
1785243321938880720,0.0,0.0
1785243322039471768,0.0,0.0
1785243322047447393,0.0,0.0
1785243322148220439,0.0,0.0
1785243322248952554,0.0,0.0
1785243322349517160,0.0,0.0
1785243322450127676,0.0,0.0
1785243322550840003,0.0,0.0
1785243322651500437,0.0,0.0
1785243322752040674,0.0,0.0
1785243322855970673,0.0,0.0
1785243322956501822,0.0,0.0
1785243323008808138,0.0,0.0
1785243323109460527,0.0,0.0
1785243323210589563,0.0,0.0
1785243323310608124,0.0,0.0
1785243323411325210,0.0,0.0
1785243323511881940,0.0,0.0
1785243323612564598,0.0,0.0
1785243323713007364,0.0,0.0
1785243323813672808,0.0,0.0
1785243323914036288,0.0,0.0
1785243324014807640,0.0,0.0
1785243324019955090,0.005,0.0
1785243324120387405,0.01,0.0
1785243324221107777,0.01,0.0
1785243324321693224,0.01,0.0
1785243324334183434,0.015,0.0
1785243324433728914,0.02,0.0
1785243324534351935,0.02,0.0
1785243324610294035,0.025,0.0
1785243324710780135,0.03,0.0
1785243324811447754,0.03,0.0
1785243324912213676,0.03,0.0
1785243325012673565,0.03,0.0
1785243325113316555,0.03,0.0
1785243325213996447,0.03,0.0
1785243325318482019,0.03,0.0
1785243325417011270,0.03,0.0
1785243325517960782,0.03,0.0
1785243325624077640,0.03,0.0
